# 15310 - LN 	CL
# 490 	CL
# W7079 	CL
HB - 8210 	CL
2B5 - G4 - F4 	CL
CLO _ 0001243 	CL
HB - 8963 	CL
CLO _ 0001244 	CL
CRL - 1960 	CL
CLO _ 0001245 	CL
CRL - 2443 	CL
CLO _ 0001246 	CL
CRL - 12569 	CL
2 BD4 E4 K99 	CL
CLO _ 0001173 	CL
CLO _ 0001247 	CL
HB - 8178 	CL
cl5027 	CL
BTO : 0004321 	CL
2BN hTERT 	CL
BTO : 0004323 	CL
BTO : 0004322 	CL
HSC0044 	CL
HSC0139 	CL
HSC0141 	CL
HSC0134 	CL
HSC0133 	CL
HSC0041 	CL
HSC0097 	CL
HSC0033 	CL
HSC0046 	CL
HSC0036 	CL
HSC0034 	CL
HSC0061 	CL
HSC0062 	CL
HSC0075 	CL
HSC0073 	CL
CLO _ 0001248 	CL
CRL - 2746 	CL
PTA - 2686 	CL
PTA - 2846 	CL
CLO _ 0001249 	CL
CRL - 1760 	CL
CLO _ 0001250 	CL
HB - 8995 	CL
CLO _ 0001254 	CL
HB - 9667 	CL
CLO _ 0001251 	CL
CRL - 2226 	CL
CLO _ 0001252 	CL
CRL - 1689 	CL
CLO _ 0001253 	CL
TIB - 185 	CL
CLO _ 0001255 	CL
CRL - 2025 	CL
CLO _ 0001256 	CL
HB - 128 	CL
CLO _ 0001257 	CL
CRL - 1812 	CL
cl50 	CL
CLO _ 0001258 	CL
HB - 226 	CL
CLO _ 0001259 	CL
TIB - 239 	CL
CLO _ 0001261 	CL
CRL - 2168 	CL
CLO _ 0001260 	CL
TIB - 194 	CL
CLO _ 0001262 	CL
CRL - 10237 	CL
RCB2709 	CL
CLO _ 0001263 	CL
CRL - 6045 	CL
CLO _ 0001264 	CL
CRL - 2435 	CL
HB - 8491 	CL
HB - 10137 	CL
CLO _ 0001265 	CL
HB - 8190 	CL
CLO _ 0001266 	CL
CRL - 2163 	CL
CLO _ 0001267 	CL
CRL - 1853 	CL
2HX - 2 	CL
CLO _ 0001268 	CL
HB - 8117 	CL
cl51 	CL
CLO _ 0001269 	CL
CRL - 6047 	CL
CLO _ 0001270 	CL
cl373 	CL
2PK3 	CL
CLO _ 0001271 	CL
TIB - 203 	CL
CLO _ 0001272 	CL
cl53 	CL
CLO _ 0001273 	CL
HB - 8213 	CL
AES0125 	CL
CLO _ 0001274 	CL
CRL - 2784 	CL
JHU - 67 	CL
RCB0867 	CL
CLO _ 0001322 	CL
HB - 20 	CL
CLO _ 0001277 	CL
TIB - 211 	CL
CLO _ 0001278 	CL
cl54 	CL
JCRB0431 	CL
JCRB0421 	CL
JCRB0422 	CL
Anti PDGF hybridoma # 30 	CL
HB - 9366 	CL
CLO _ 0001280 	CL
HB - 31 	CL
CLO _ 0001282 	CL
TIB - 106 	CL
CLO _ 0001283 	CL
TIB - 107 	CL
CLO _ 0001279 	CL
HB - 8152 	CL
St 3051 	CL
St3051 	CL
RCB0156 	CL
CLO _ 0001281 	CL
CRL - 2819 	CL
IM - 2 cl 30F 	CL
Line 30F 	CL
CLO _ 0001287 	CL
HB - 77 	CL
CLO _ 0001288 	CL
HB - 9726 	CL
CLO _ 0001290 	CL
HB - 9725 	CL
CLO _ 0001284 	CL
CRL - 2656 	CL
HB - 9053 	CL
HB - 9002 	CL
CLO _ 0001285 	CL
CRL - 2657 	CL
312 - 13E08 	CL
CLO _ 0001286 	CL
CRL - 2658 	CL
HB - 9208 	CL
31227 ABO 	CL
ABU 	CL
ABUC 	CL
GM08600 	CL
IHW9061 	CL
WT9 	CL
IHW9278 	CL
317G5 	CL
CLO _ 0001289 	CL
CTCC 0055 	CL
HB - 8485 	CL
HB - 8691 	CL
3T3 - MSV 	CL
CLO _ 0001291 	CL
CRL - 1568 	CL
IM - 2 cl 31E 	CL
Line 31E 	CL
CLO _ 0001292 	CL
HB - 11052 	CL
CLO _ 0001293 	CL
cl57 	CL
CLO _ 0001294 	CL
HB - 9469 	CL
IHW9250 	CL
IHW9240 	CL
IHW9257 	CL
IHW9231 	CL
TER232 	CL
TER272 	CL
TER284 	CL
TER365 	CL
TER376 	CL
TER81 	CL
CLO _ 0001295 	CL
CRL - 2559 	CL
BTO : 0002882 	CL
CLO _ 0001296 	CL
RCB1145 	CL
cl5010 	CL
32D CL3 	CL
32D cl3 	CL
32D clone 3 	CL
32D clone3 	CL
32D . 3 	CL
32D . cl3 	CL
32D / cl3 	CL
32D : cl3 	CL
BTO : 0002883 	CL
CLO _ 0001297 	CL
CRL - 11346 	CL
RCB1377 	CL
RCB1538 	CL
CLO _ 0001298 	CL
TIB - 129 	CL
CLO _ 0001299 	CL
HB - 186 	CL
BTO : 0002938 	CL
CLO _ 0001300 	CL
cl58 	CL
33 D1 	CL
CLO _ 0001301 	CL
TIB - 227 	CL
33F8 . C3D12 	CL
HB - 8697 	CL
CLO _ 0001302 	CL
CRL - 1889 	CL
CLO _ 0001303 	CL
HB - 79 	CL
CLO _ 0001304 	CL
HB - 87 	CL
CLO _ 0001305 	CL
HB - 75 	CL
CLO _ 0001306 	CL
HB - 76 	CL
CLO _ 0001307 	CL
HB - 85 	CL
CLO _ 0001308 	CL
HB - 102 	CL
cl5138 	CL
CLO _ 0001309 	CL
HB - 101 	CL
cl59 	CL
CLO _ 0001310 	CL
HB - 222 	CL
CLO _ 0001311 	CL
CRL - 10052 	CL
IHW9232 	CL
CLO _ 0001312 	CL
HB - 181 	CL
IHW9235 	CL
CLO _ 0001313 	CL
CRL - 8193 	CL
36 . 5 ( CD8 + ) 	CL
CLO _ 0001314 	CL
CRL - 11116 	CL
HB - 9280 	CL
HB - 9227 	CL
CHEMBL612820 	CL
369F10 . C3A8 	CL
HB - 8682 	CL
36 B - 10 	CL
36B - 10 	CL
BTO : 0005252 	CL
36F 	CL
CLO _ 0001316 	CL
HB - 285 	CL
CLO _ 0001318 	CL
HB - 9312 	CL
PM 37 . 04 . 12 	CL
CLO _ 0001319 	CL
CRL - 1893 	CL
CLO _ 0001321 	CL
HB - 182 	CL
CLO _ 0001320 	CL
HB - 231 	CL
CLO _ 0001007 	CL
cl4977 	CL
cl63 	CL
39S 	CL
CLO _ 0001323 	CL
HB - 8180 	CL
397 	CL
397 mel 	CL
397 - Mel 	CL
3A - sub E 	CL
CLO _ 0001324 	CL
CLO _ 0001328 	CL
CRL - 1584 	CL
cl64 	CL
CLO _ 0001325 	CL
CRL - 1583 	CL
TPA30 - 1 	CL
HB - 10138 	CL
RCB1285 	CL
CLO _ 0001326 	CL
CRL - 2440 	CL
CLO _ 0001327 	CL
CMCC # 11066 	CL
CMCC 11066 	CL
HB - 12024 	CL
3 A 9 	CL
CLO _ 0001330 	CL
CRL - 2160 	CL
CLO _ 0001329 	CL
CRL - 2757 	CL
CLO _ 0001331 	CL
HB - 8654 	CL
CLO _ 0001332 	CL
TIB - 228 	CL
CLO _ 0001333 	CL
HB - 8511 	CL
CLO _ 0001334 	CL
CRL - 2284 	CL
HB - 11340 	CL
CLO _ 0001335 	CL
CRL - 1959 	CL
3 C9 - D11 - H11 	CL
CLO _ 0001275 	CL
CLO _ 0001336 	CL
CRL - 1745 	CL
cl5095 	CL
BTO : 0004405 	CL
3 E 1 	CL
CLO _ 0001276 	CL
CLO _ 0001337 	CL
HB - 8067 	CL
cl5098 	CL
HB - 8514 	CL
PTA - 7312 	CL
CLO _ 0001338 	CL
HB - 8512 	CL
CLO _ 0001339 	CL
HB - 8516 	CL
CLO _ 0001340 	CL
CRL - 1814 	CL
TKG 0178 	CL
CLO _ 0001341 	CL
CRL - 1843 	CL
CLO _ 0001342 	CL
HB - 46 	CL
TKG 0621 	CL
CLO _ 0001343 	CL
CRL - 6048 	CL
3 LL 	CL
3 - LL 	CL
BTO : 0004004 	CL
CHEMBL612910 	CL
JCRB1348 	CL
LLC 	CL
CLO _ 0001344 	CL
HB - 8136 	CL
RCB0681 	CL
CLO _ 0001347 	CL
CRL - 2753 	CL
CLO _ 0001348 	CL
CRL - 2752 	CL
CLO _ 0001353 	CL
cl74 	CL
3T3 	CL
3T3 Swiss Albino 	CL
CCL - 92 	CL
CLO _ 0001355 	CL
JCRB9019 	CL
RCB1642 	CL
cl65 	CL
cl76 	CL
cl77 	CL
cl78 	CL
cl79 	CL
cl80 	CL
cl81 	CL
cl82 	CL
cl83 	CL
CLO _ 0001350 	CL
cl69 	CL
3T3 - C2 	CL
3T3 - 442A 	CL
3T3 - F442A 	CL
BTO : 0001169 	CL
BTO : 0004025 	CL
EFO _ 0002811 	CL
F442A 	CL
3T3 L1 	CL
3T3 - L1 	CL
3T3 - L1 ad 	CL
CHEMBL614510 	CL
CL - 173 	CL
CLO _ 0001352 	CL
EFO _ 0001084 	CL
EFO _ 0001223 	CL
JCRB9014 	CL
NIH - 3T3 - L1 	CL
NIH3T3 - L1 	CL
cl71 	CL
cl72 	CL
cl73 	CL
3T6 	CL
3T6 Swiss Albino 	CL
BTO : 0000454 	CL
CCL - 96 	CL
CLO _ 0001356 	CL
JCRB9059 	CL
RCB0248 	CL
cl86 	CL
cl88 	CL
cl89 	CL
cl90 	CL
RCB0289 	CL
3Y1 	CL
3Y1B clone 1 	CL
BTO : 0002368 	CL
CHEMBL614741 	CL
RCB0290 	CL
JCRB0734 	CL
RCB0287 	CL
RCB0488 	CL
RCB0288 	CL
RCB0323 	CL
RCB0324 	CL
RCB0291 	CL
RCB0293 	CL
RCB0294 	CL
RCB0295 	CL
RCB0298 	CL
RCB0299 	CL
RCB0301 	CL
RCB0304 	CL
RCB0305 	CL
RCB0307 	CL
RCB0308 	CL
RCB0310 	CL
RCB0312 	CL
RCB0317 	CL
RCB0318 	CL
RCB0296 	CL
RCB0297 	CL
RCB0292 	CL
RCB0302 	CL
RCB0303 	CL
RCB0306 	CL
RCB0309 	CL
RCB0321 	CL
RCB0313 	CL
RCB0314 	CL
RCB0322 	CL
RCB0320 	CL
RCB0311 	CL
RCB0316 	CL
RCB0315 	CL
RCB0319 	CL
4 - 1ST 	CL
RCB0868 	CL
JCRB0084 	CL
JCRB0083 	CL
4 / 4 RM - 4 	CL
CCL - 216 	CL
CLO _ 0001357 	CL
cl91 	CL
CLO _ 0001358 	CL
HB - 9311 	CL
PM 40 . 10 . 09 	CL
HPS0076 	CL
CLO _ 0001360 	CL
CRL - 2695 	CL
PTA - 226 	CL
mAb 41 - 2 	CL
CLO _ 0001361 	CL
HB - 130 	CL
CLO _ 0001359 	CL
CRL - 2663 	CL
CLO _ 0001362 	CL
CRL - 2653 	CL
BTO : 0002884 	CL
CLO _ 0001363 	CL
cl92 	CL
41 - M 	CL
BTO : 0003998 	CL
CHEMBL614511 	CL
41M - cisR 	CL
42MGBA 	CL
42MGBA _ CENTRAL _ NERVOUS _ SYSTEM 	CL
CLO _ 0001367 	CL
cl5011 	CL
CLO _ 0001364 	CL
HB - 9313 	CL
PM 42 . 08 . 07 	CL
CLO _ 0001368 	CL
CRL - 2759 	CL
TKG 0179 	CL
RCB2843 	CL
TKG 0381 	CL
15D3 	CL
CLO _ 0001369 	CL
CMCC 10748 	CL
HB - 11342 	CL
17F9 	CL
CMCC # 10747 	CL
CMCC 10747 	CL
PTA - 354 	CL
EFO _ 0002807 	CL
EFO _ 0002808 	CL
448 - D 	CL
CLO _ 0001370 	CL
HB - 10895 	CL
EFO _ 0002809 	CL
CLO _ 0001371 	CL
HB - 249 	CL
45 , 6TG1 . 7 	CL
CLO _ 0001372 	CL
CRL - 1608 	CL
GM03572 	CL
MPC11 - 45 . 6TG1 . 7 	CL
cl96 	CL
451 - LU 	CL
451LU 	CL
BTO : 0003710 	CL
CLO _ 0001373 	CL
CRL - 2813 	CL
WM 451 - Lu 	CL
WM - 451LU 	CL
WM - 451Lu 	CL
WM451Lu 	CL
452F2 	CL
HB - 10811 	CL
CLO _ 0001374 	CL
HB - 8484 	CL
CLO _ 0001375 	CL
HB - 8507 	CL
CLO _ 0001377 	CL
CRL - 2186 	CL
CLO _ 0001378 	CL
CRL - 2178 	CL
CLO _ 0001379 	CL
CRL - 2184 	CL
CLO _ 0001376 	CL
HB - 67 	CL
CLO _ 0001013 	CL
Continuous kidney cell line No . 4647 	CL
cl97 	CL
cl98 	CL
46BR 1G1 	CL
46BR - 1G1 	CL
46Br . 1G1 	CL
BTO : 0005012 	CL
CLO _ 0001380 	CL
cl100 	CL
46BR - 1N 	CL
CLO _ 0001381 	CL
cl101 	CL
BTO : 0005013 	CL
CLO _ 0001382 	CL
CRL - 1913 	CL
CLO _ 0001383 	CL
HB - 8327 	CL
CLO _ 0001384 	CL
CRL - 1928 	CL
CLO _ 0001385 	CL
HB - 196 	CL
1C9 	CL
CLO _ 0001386 	CL
HB - 12466 	CL
CLO _ 0001387 	CL
HB - 8311 	CL
SKI 300 4C 	CL
mAb 4C 	CL
moAb 4C 	CL
4C2 	CL
CLO _ 0001388 	CL
CRL - 2744 	CL
JHU - 28 	CL
CLO _ 0001389 	CL
HB - 327 	CL
CLO _ 0001390 	CL
CRL - 2538 	CL
PTA - 4999 	CL
CLO _ 0001391 	CL
CRL - 2437 	CL
CLO _ 0001392 	CL
HB - 11495 	CL
CLO _ 0001393 	CL
HB - 240 	CL
CLO _ 0001394 	CL
HB - 178 	CL
HB - 8517 	CL
TKG 0619 	CL
CLO _ 0001395 	CL
CRL - 1818 	CL
CLO _ 0001396 	CL
HB - 9259 	CL
CLO _ 0001397 	CL
HB - 10452 	CL
CLO _ 0001398 	CL
HB - 22 	CL
CLO _ 0001399 	CL
CRL - 1813 	CL
cl102 	CL
CCL - 208 	CL
CLO _ 0001400 	CL
BTO : 0004311 	CL
CHEMBL612589 	CL
CLO _ 0001401 	CL
CRL - 2539 	CL
EFO _ 0002037 	CL
JCRB1447 	CL
BTO : 0004026 	CL
58F 	CL
CHO 5 / 9 M alpha3 - 18 	CL
CLO _ 0001403 	CL
CRL - 10154 	CL
CLO _ 0001404 	CL
CRL - 2696 	CL
PTA - 227 	CL
mAb 50 - 6 	CL
501 	CL
501 Mel 	CL
501 mel 	CL
501Mel 	CL
501mel 	CL
BTO : 0002956 	CL
BTO : 0003989 	CL
MEL501 	CL
Me 501 	CL
Me - 501 	CL
Me501 	CL
Mel 501 	CL
Mel501 	CL
RCB0761 	CL
CLO _ 0001405 	CL
HB - 230 	CL
CLO _ 0001406 	CL
CRL - 1914 	CL
51B LiM 5 	CL
51BLiM5 	CL
51B LiM 6 	CL
51BLiM6 	CL
Anti PDGF hybridoma # 52 	CL
CLO _ 0001407 	CL
HB - 9361 	CL
52S 	CL
CLO _ 0001410 	CL
HB - 8181 	CL
520C9 . C3B10T 	CL
CLO _ 0001408 	CL
HB - 8696 	CL
526 	CL
526 mel 	CL
CLO _ 0001409 	CL
HB - 8509 	CL
CLO _ 0001411 	CL
TIB - 105 	CL
CLO _ 0001412 	CL
TIB - 104 	CL
53S 	CL
CLO _ 0001413 	CL
HB - 8182 	CL
537 	CL
537 mel 	CL
CLO _ 0001414 	CL
CRL - 1890 	CL
CLO _ 0001415 	CL
CRL - 2155 	CL
CLO _ 0001416 	CL
CRL - 2153 	CL
CLO _ 0001417 	CL
CRL - 2156 	CL
CLO _ 0001418 	CL
CRL - 2185 	CL
551 - IPS8 	CL
553 	CL
553 mel 	CL
558 - D 	CL
CLO _ 0001419 	CL
HB - 10894 	CL
559 / 64 - D 	CL
CLO _ 0001420 	CL
HB - 10893 	CL
5637 _ URINARY _ TRACT 	CL
BTO : 0003137 	CL
CHEMBL612565 	CL
CLO _ 0001421 	CL
EFO _ 0002096 	CL
HTB - 9 	CL
RCB1191 	CL
TKG 0605 	CL
cl1 	CL
cl105 	CL
cl7118 	CL
56b3 	CL
CLO _ 0001422 	CL
CRL - 11117 	CL
CRL - 2542 	CL
CLO _ 0001423 	CL
HB - 8506 	CL
58S 	CL
CLO _ 0001426 	CL
HB - 8183 	CL
CLO _ 0001424 	CL
NRK cell line No . 58967 	CL
cl107 	CL
IHW9230 	CL
598 - RCC 	CL
BTO : 0003734 	CL
CRL - 11115 	CL
59M _ OVARY 	CL
CLO _ 0001428 	CL
cl110 	CL
CLO _ 0001429 	CL
CRL - 2702 	CL
RCB2740 	CL
TKG 0631 	CL
PTA - 4298 	CL
CLO _ 0001430 	CL
CRL - 1969 	CL
HB - 9572 	CL
CLO _ 0001431 	CL
HB - 10916 	CL
5 C 9 	CL
CLO _ 0001402 	CL
CLO _ 0001432 	CL
HB - 8371 	CL
cl5099 	CL
HB - 11339 	CL
CLO _ 0001433 	CL
HB - 49 	CL
5D5 	CL
CLO _ 0001434 	CL
HB - 11895 	CL
CLO _ 0001435 	CL
CRL - 2635 	CL
CLO _ 0001436 	CL
HB - 21 	CL
5 F12 AD 3 	CL
CLO _ 0001437 	CL
HB - 8209 	CL
CRL - 8797 	CL
CLO _ 0001438 	CL
cl5108 	CL
CLO _ 0001439 	CL
CRL - 2633 	CL
CLO _ 0001440 	CL
CRL - 2646 	CL
CLO _ 0001441 	CL
CRL - 6049 	CL
rMTC - 6 - 23 	CL
6 - 23 ( Clone 6 ) 	CL
6 - 23 clone 6 	CL
6 - 23C6 	CL
CLO _ 0001446 	CL
CLO _ 0001447 	CL
CRL - 1607 	CL
cl111 	CL
cl5109 	CL
CLO _ 0001442 	CL
CRL - 13006 	CL
600 MPE 	CL
600PE 	CL
EFO _ 0001085 	CL
CLO _ 0001443 	CL
HB - 247 	CL
CLO _ 0001444 	CL
cl112 	CL
CLO _ 0001445 	CL
HB - 8154 	CL
624 	CL
624 mel 	CL
624 - MEL 	CL
624mel 	CL
BTO : 0002951 	CL
MEL624 	CL
Mel - 624 	CL
624 . 28 	CL
Me 624 . 28 	CL
Mel - 624 . 28 	CL
624 . 38 	CL
Me624 . 38 	CL
Mel - 624 . 38 	CL
RCB2352 	CL
639 - V 	CL
639V _ URINARY _ TRACT 	CL
CHEMBL1075383 	CL
CLO _ 0001448 	CL
EFO _ 0002097 	CL
cl5012 	CL
CLO _ 0001449 	CL
HB - 44 	CL
647 - V 	CL
647V _ URINARY _ TRACT 	CL
CHEMBL1075384 	CL
CLO _ 0001450 	CL
EFO _ 0002098 	CL
cl5254 	CL
650E2 	CL
CLO _ 0001451 	CL
CMCC # 10121 	CL
CMCC 10121 	CL
HB - 10812 	CL
IVI 10083 	CL
661 W 	CL
661w 	CL
BTO : 0001554 	CL
CLO _ 0001453 	CL
cl114 	CL
cl115 	CL
66cl4 	CL
EFO _ 0002038 	CL
Line 66 clone 4 	CL
67 - I 	CL
677 	CL
677 mel 	CL
677 - MEL 	CL
EFO _ 0002039 	CL
CLO _ 0001455 	CL
CRL - 1712 	CL
M3e 	CL
M4e 	CL
R30 	CL
697 _ HAEMATOPOIETIC _ AND _ LYMPHOID _ TISSUE 	CL
BTO : 0001969 	CL
CLO _ 0001008 	CL
Line 697 	CL
cl117 	CL
697 	CL
697 mel 	CL
CLO _ 0001456 	CL
HB - 8159 	CL
6F10 	CL
CLO _ 0001457 	CL
CRL - 2743 	CL
JHU - 27 	CL
6C3HED / OG 	CL
TKG 0146 	CL
PTA - 4299 	CL
HB - 9573 	CL
6D8 MB4 	CL
CLO _ 0001458 	CL
CRL - 1842 	CL
CLO _ 0001459 	CL
CRL - 11398 	CL
CRL - 8562 	CL
CLO _ 0001460 	CL
CRL - 1869 	CL
CLO _ 0001461 	CL
HB - 11722 	CL
CLO _ 0001462 	CL
CRL - 6050 	CL
CLO _ 0001472 	CL
CRL - 1945 	CL
7TD1 	CL
7TDI 	CL
CHEMBL614646 	CL
CLO _ 0001502 	CL
CLO _ 0001503 	CL
CRL - 1851 	CL
RCB1190 	CL
cl118 	CL
cl119 	CL
7 . 107 	CL
CRL - 11136 	CL
RCB2282 	CL
TKG 0610 	CL
CLO _ 0001465 	CL
HB - 8301 	CL
RCB0569 	CL
CLO _ 0001467 	CL
cl122 	CL
70 Z / 3 	CL
70 z / 3 	CL
70Z / 3 . 12 	CL
70Z3 	CL
7OZ / 3 	CL
BTO : 0000788 	CL
CLO _ 0001468 	CL
TIB - 158 	CL
cl123 	CL
CLO _ 0001469 	CL
TIB - 147 	CL
72 A1 	CL
CLO _ 0001470 	CL
HB - 168 	CL
cl124 	CL
cl5143 	CL
CLO _ 0001471 	CL
HB - 66 	CL
BTO : 0001941 	CL
Morris hepatoma 7316A 	CL
CLO _ 0001473 	CL
HB - 139 	CL
cl5150 	CL
CLO _ 0001474 	CL
HB - 147 	CL
cl5152 	CL
CLO _ 0001475 	CL
HB - 142 	CL
cl5153 	CL
CLO _ 0001476 	CL
HB - 142 . 1 	CL
CLO _ 0001478 	CL
HB - 156 	CL
cl5144 	CL
741F8 	CL
HB - 10807 	CL
CLO _ 0001477 	CL
cl125 	CL
RCB0116 	CL
751 	CL
CRL - 10992 	CL
CRL - 12160 	CL
CLO _ 0001481 	CL
HB - 143 	CL
CLO _ 0001482 	CL
HB - 153 	CL
CLO _ 0001483 	CL
HB - 141 	CL
CLO _ 0001484 	CL
HB - 140 	CL
cl5154 	CL
769 - p 	CL
769P 	CL
769P _ KIDNEY 	CL
CHEMBL1075385 	CL
CLO _ 0001485 	CL
CRL - 1933 	CL
EFO _ 0002099 	CL
7800 C1 	CL
BTO : 0002535 	CL
CHEMBL614742 	CL
Morris hepatoma 7800C1 	CL
786 - 0 	CL
786 . O 	CL
786O 	CL
786O _ KIDNEY 	CL
BTO : 0003781 	CL
CHEMBL613102 	CL
CLO _ 0001486 	CL
CRL - 1932 	CL
RCC 786 - O 	CL
RCC _ 7860 	CL
786 - 0 - Luc 	CL
JCRB1397 	CL
CHEMBL614254 	CL
CLO _ 0001488 	CL
HB - 10135 	CL
CLO _ 0001489 	CL
SCRC - 1033 	CL
PTA - 5000 	CL
CLO _ 0001490 	CL
HB - 8678 	CL
cl5111 	CL
CLO _ 0001491 	CL
HB - 9574 	CL
CLO _ 0001492 	CL
HB - 8465 	CL
CLO _ 0001493 	CL
HB - 92 	CL
CLO _ 0001494 	CL
CRL - 1886 	CL
7 D4 	CL
CLO _ 0001463 	CL
CLO _ 0001495 	CL
CRL - 1698 	CL
JCRB9092 	CL
cl5110 	CL
7E11 - C5 	CL
CLO _ 0001496 	CL
HB - 10494 	CL
CLO _ 0001497 	CL
HB - 9397 	CL
CLO _ 0001498 	CL
HB - 8832 	CL
PTA - 7313 	CL
CLO _ 0001499 	CL
CRL - 12557 	CL
CLO _ 0001500 	CL
HB - 11945 	CL
7G7 / B6 	CL
CLO _ 0001501 	CL
HB - 8784 	CL
7Gp122 	CL
8MGBA 	CL
8MGBA _ CENTRAL _ NERVOUS _ SYSTEM 	CL
CLO _ 0001523 	CL
cl5013 	CL
8 . 03 . 4 	CL
HB - 8388 	CL
CLO _ 0001504 	CL
TIB - 132 	CL
HB - 11871 	CL
8029 DDP 	CL
RCB2308 	CL
CLO _ 0001505 	CL
CRL - 2395 	CL
804G 	CL
CLO _ 0001506 	CL
CRL - 2287 	CL
CLO _ 0001507 	CL
CRL - 2282 	CL
CLO _ 0001508 	CL
CRL - 2290 	CL
CLO _ 0001509 	CL
CRL - 7901 	CL
CLO _ 0001001 	CL
cl131 	CL
818 _ 1 	CL
8184 	CL
818 _ 4 	CL
CLO _ 0001511 	CL
CRL - 1971 	CL
8305 - C 	CL
8305C _ THYROID 	CL
BTO : 0000919 	CL
CHEMBL1075386 	CL
CLO _ 0001510 	CL
JCRB0824 	CL
RCB1909 	CL
TKG 0446 	CL
cl132 	CL
cl133 	CL
833KE 	CL
HT - E 	CL
833 - K - LC 	CL
833K / LC 	CL
833KLC 	CL
836 	CL
836 mel 	CL
Lin 8387 	CL
CLO _ 0001512 	CL
cl134 	CL
8505C _ THYROID 	CL
8505c 	CL
BTO : 0004965 	CL
CHEMBL1075387 	CL
CLO _ 0001513 	CL
JCRB0826 	CL
RCB2103 	CL
TKG 0439 	CL
cl135 	CL
cl136 	CL
RCB2312 	CL
RCB2134 	CL
TKG 0181 	CL
BTO : 0004580 	CL
866 MT 	CL
127 . 5 - 9 	CL
CLO _ 0001514 	CL
HB - 286 	CL
86 - HG - 39 	CL
RCB2092 	CL
TKG 0503 	CL
CHEMBL614777 	CL
RCB2313 	CL
888 	CL
888 mel 	CL
888 - MEL 	CL
888mel 	CL
BTO : 0002950 	CL
BTO : 0003990 	CL
Mel888 	CL
CLO _ 0001515 	CL
CRL - 1967 	CL
CLO _ 0001516 	CL
CRL - 2820 	CL
CLO _ 0001517 	CL
HB - 11300 	CL
PTA - 7318 	CL
CLO _ 0001518 	CL
HB - 8161 	CL
CLO _ 0001519 	CL
CRL - 1875 	CL
CLO _ 0001520 	CL
CRL - 1877 	CL
RCB0844 	CL
PTA - 7319 	CL
CLO _ 0001521 	CL
CRL - 8993 	CL
CLO _ 0001522 	CL
CRL - 8795 	CL
PTA - 7317 	CL
9 - 15C 	CL
JCRB1181 	CL
RCB2323 	CL
RCB0869 	CL
CRL - 2485 	CL
CLO _ 0001533 	CL
HB - 8935 	CL
cl5121 	CL
CLO _ 0001534 	CL
CRL - 1844 	CL
CLO _ 0001536 	CL
CRL - 1845 	CL
CLO _ 0001525 	CL
IHW8117 	CL
cl138 	CL
CLO _ 0001526 	CL
HB - 180 	CL
CLO _ 0001527 	CL
HB - 10508 	CL
CLO _ 0001528 	CL
CRL - 11654 	CL
CLO _ 0001529 	CL
CRL - 9853 	CL
CLO _ 0001530 	CL
HB - 11301 	CL
92 . 1 	CL
92 _ 1 	CL
TCC 92 - 1 	CL
92 . 2 	CL
92 _ 2 	CL
CLO _ 0001531 	CL
cl140 	CL
CLO _ 0001532 	CL
CRL - 2816 	CL
938 	CL
938 mel 	CL
BTO : 0002949 	CL
147T 	CL
TCC 94 - 10 	CL
BTO : 0004029 	CL
BTO : 0004027 	CL
BTO : 0004028 	CL
BTO : 0004031 	CL
BTO : 0004030 	CL
TCC 96 - 1 	CL
TCC 96 - 11 	CL
TCC 96 - 12 	CL
TCC 96 - 13 	CL
TCC 96 - 16 	CL
TCC 96 - 2 	CL
TCC 96 - 9 	CL
TCC 97 - 1 	CL
TCC 97 - 10 	CL
TCC 97 - 15 	CL
97 - 18 	CL
TCC 97 - 18 - I 	CL
97 - 21 	CL
TCC 97 - 21 - M 	CL
TCC 97 - 24 	CL
TCC 97 - 29 	CL
TCC 97 - 5 	CL
TCC 97 - 6 	CL
TCC 97 - 7 	CL
CMCC 12337 	CL
CMCC # 12337 	CL
PTA - 6015 	CL
CMCC # 12336 	CL
CMCC 12336 	CL
PTA - 6014 	CL
CLO _ 0001535 	CL
CRL - 1761 	CL
9 BG 5 	CL
CLO _ 0001524 	CL
CLO _ 0001537 	CL
HB - 167 	CL
cl5129 	CL
CLO _ 0001538 	CL
CRL - 8752 	CL
HB - 11031 	CL
CLO _ 0001539 	CL
CRL - 1703 	CL
CLO _ 0001540 	CL
HB - 8177 	CL
HB - 11030 	CL
HB - 11430 	CL
CHEMBL613105 	CL
T9 	CL
CLO _ 0001541 	CL
CRL - 2200 	CL
CLO _ 0001542 	CL
CRL - 11379 	CL
A123 	CL
CLO _ 0001555 	CL
HB - 8451 	CL
M - 26 	CL
A124 	CL
CLO _ 0001556 	CL
HB - 8452 	CL
M - 28 	CL
CLO _ 0009729 	CL
TIB - 131 	CL
alpha intermediate filament 	CL
A10 	CL
BTO : 0002196 	CL
CHEMBL614513 	CL
CLO _ 0001550 	CL
CRL - 1476 	CL
cl184 	CL
A 1207 	CL
A1207 	CL
BTO : 0002213 	CL
BTO : 0002214 	CL
A 172 	CL
A172 	CL
A172 _ CENTRAL _ NERVOUS _ SYSTEM 	CL
BTO : 0000016 	CL
CHEMBL614512 	CL
CLO _ 0001543 	CL
CLO _ 0001559 	CL
CLO _ 0001560 	CL
CRL - 1620 	CL
EFO _ 0002101 	CL
JCRB0228 	CL
